tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
sLMpL6atAM	PhenX - emotional state - adult protocol 180501		"The Positive Affect and Negative Affect Schedule-Expanded Form (PANAS-X) is a 60-item scale used to measure the respondent's emotions during the past few weeks. The items are grouped into the following four subgroups and subscales: general dimension scales (negative affect, positive affect), basic negative emotion scales (fear, hostility, guilt, sadness), basic positive emotion scales (joviality, self-assurance, attentiveness), and other affective states (shyness, fatigue, serenity, surprise). The respondent is asked to read several words and phrases which describe feelings and emotions and enter a number that corresponds to the value on a scale. The 5-item scale ranges from ""very slightly or not at all,"" with a value of 1, to ""extremely,"" with a value of 5."	Text		PhenX > Miscellaneous		LOINC:62923-8	LOINC	Qualified	False
LJ09OLDZr	PhenX - executive function protocol 131101		A questionnaire to assess the larger body movements that develop during childhood such as sitting, standing and walking. This measure is used to assess impairment of gross motor function. Development of gross motor function can be impaired by injury, congenital defects, and neurological and developmental disorders such as muscular dystrophy and cerebral palsy.	Text		PhenX > Miscellaneous		LOINC:62778-6	LOINC	Qualified	False
00eYcDABU	PhenX - family conflict - intimate-relationship protocol 210401		The Revised Conflict Tactics Scales (CTS 2) is a 78-item, self-administered questionnaire that assesses both positive and negative behaviors used in response to conflict between romantic partners in the past year. The Revised Conflict Tactics Scales (CTS 2) is a proprietary instrument, and administration requires a licensing agreement from Western Psychological Services. Romantic partners are defined as any two adult individuals engaged in an intimate relationship, including both married and unmarried partners and both same-sex and opposite-sex partners.	Text		PhenX > Miscellaneous		LOINC:63017-8	LOINC	Qualified	False
jP7Yp8H9r2	PhenX - family conflict - parent - child protocol 210402		The Conflict Tactics Scales: Parent-Child Version (CTS PC) is a 35-item, self-administered questionnaire given to adult parents of children or given to children themselves that evaluates how parents deal with conflict with their child, including nonviolent discipline, psychological aggression, and physical assault in the parent-child relationship. The respondent reviews the list of items and chooses a response from an eight-point Likert scale that best describes the strategies used by the parent to manage conflict with the child. The Conflict Tactics Scales: Parent-Child Version (CTS PC) is a proprietary instrument, and administration requires a licensing agreement from Western Psychological Services. The Social Environments Working Group notes that this measure can be used for both biological parent-child relationships, as well as relationships with stepchildren or adopted children.	Text		PhenX > Miscellaneous		LOINC:63018-6	LOINC	Qualified	False
6IiXgQb6y	PhenX - family control and organization protocol 210501		The System Maintenance protocol includes 18 self-administered, true/false questions from two subscales (Organization, Control) of the Family Environment Scale, Fourth Edition. The respondent reviews each item and chooses whether each item is characteristic (True) or not characteristic (False) of their family. The Family Environment Scale Manual includes a Scoring Key for each True/False item. This protocol is appropriate for adults and children aged 11 and older. The Family Environment Scale is a proprietary instrument. Each Family Environment subscale is a part of a complete Family Environment Scale assessment and is not sold separately. To administer a subscale requires a licensing agreement from Mind Garden, Inc. While the Social Environments Working Group recognizes that there are many definitions of family, the Family Environment Scale is intended for use among parents and children. Parents may include both biological and nonbiological (e.g., step- or adoptive) relationships.	Text		PhenX > Miscellaneous		LOINC:63020-2	LOINC	Qualified	False
1K2jO6cfC	PhenX - family interpersonal relationships protocol 210601		The Family Interpersonal Relationships protocol includes 27 self-administered, true/false questions from three subscales (Cohesion, Expressiveness, and Conflict) of the Family Environment Scale Fourth Edition. The respondent reviews each item and chooses whether each item is characteristic (true) or not characteristic (false) of his or her family. The Family Environment Scale Manual includes a scoring key for each true/false item. This protocol is appropriate for adults and children aged 11 years and older. The Family Environment Scale is a proprietary instrument. Each Family Environment subscale is a part of a complete Family Environment Scale assessment and is not sold separately. To administer a subscale requires a licensing agreement from Mind Garden, Inc. While the Social Environments Working Group recognizes that there are many definitions of family, the Family Environment Scale is intended for use among parents and children. Parents may include both biological and nonbiological (e.g., step- or adoptive) relationships.	Text		PhenX > Miscellaneous		LOINC:63022-8	LOINC	Qualified	False
bhhA_i_2Tt	PhenX - gastroesophageal reflux disease (GERD) symptoms protocol 191101		The Gastroesophageal Reflux Disease Questionnaire (GerdQ) is a 6-item questionnaire that helps identify patients with gastroesophageal reflux disease (GERD). Patients are asked to report frequency of symptoms over the past 7 days. If the administration of the GerdQ produces a positive score for GERD, the Gastrointestinal Working Group (WG) recommends performing a pH impedence test to confirm the results and determine disease severity. Please see the Gastrointestinal WG Supplemental Information for a pH impedence test protocol. The Gastroesophageal Reflux Disease Questionnaire (GerdQ) is a proprietary instrument that is available for use with permission from AstraZeneca. To obtain permission, contact AstraZeneca at PROinformation@astrazeneca.com and complete a License Agreement.	Text		NICHD > NBSTRN Duchenne Muscular Dystrophy (DMD)		LOINC:62973-3; NICHD Variable Name:pv_ger	NICHD	Qualified	False
HWfPDNA7m	PhenX - global mental status - adult protocol 130701		The Montreal Cognitive Assessment (MoCA(c)) is a screening instrument for mild cognitive impairment and more severe cognitive deficits. It is an interviewer-administered questionnaire in which the respondent performs certain tasks, such as drawing and counting, to assess various cognitive domains, such as attention, memory, orientation, language, conceptual thinking and planning. Please consult www.mocatest.org for permission and requirements to use the MoCA test.	Text		PhenX > Miscellaneous		LOINC:62769-5	LOINC	Qualified	False
U5QpqFuE_j	PhenX - global mental status - child protocol 130702		The Ages & Stages Questionnaires®, Third Edition (ASQ-3) screens infants and young children from 1 month to 66 months for developmental delays in five areas. The ASQ-3 is completed by a parent (or child's caregiver) or by an examiner asking a parent (or child's caregiver) questions about the child. The protocol includes scoring instructions. Additionally, the Brookes Publishing Company offers an optional online management system for ASQ-3 called ASQ Online. The Ages & Stages Questionnaires®, Third Edition (ASQ-3) is a proprietary, fee-based instrument that is available for purchase from Brookes Publishing Company.	Text		PhenX > Miscellaneous		LOINC:62770-3	LOINC	Qualified	False
sFM0_A1bQ	PhenX - grammatical impairments - test of early grammatical impairment protocol 200502		Past Tense Probe and Third Person Singular Probe are interviewer-administered subtests of the Rice/Wexler Test of Early Grammatical Impairment (TEGI). The interviewer uses a picture elicitation task to elicit target forms of grammar. Normative data are available to assist in scoring results. The Rice/Wexler Test of Early Grammatical Impairment is a proprietary instrument. Each Rice/Wexler Test of Early Grammatical Impairment (TEGI) subtest is a part of a complete assessment and is not sold separately. To administer/use a subtest requires a licensing agreement from Pearson. Researchers should complete and return an application to pas.licensing@pearson.com. In order for this assessment to be considered valid, the investigator should make sure that the respondent speaks English as a first language. For genetics studies children should be assessed for hearing or nonverbal cognitive impairment as related factors.	Text		PhenX > Miscellaneous		LOINC:62987-3	LOINC	Qualified	False
C_HEKhnno	PhenX - health impact of inflammatory bowel disease protocol 190701		"The Short Inflammatory Bowel Disease Questionnaire (SIBDQ) obtains a clinical status in respondents who have been diagnosed with inflammatory bowel disease (IBD) (e.g., Crohn's disease and ulcerative colitis) using measures of health-related quality of life over the past 2 weeks. The protocol contains 10 questions that query the well-being of respondents in four realms relevant to IBD's impact on their lives: emotional, social, bowel, and work. The questionnaire can be completed in less than 5 minutes. Because the Short Inflammatory Bowel Disease Questionnaire (SIBDQ) should be administered to people who have already been diagnosed with Inflammatory Bowel Disease (IBD), the Gastrointestinal Working Group recommends including a filter question prior to administering the questionnaire. The filter question should ask if the subject has ever been diagnosed with inflammatory bowel disease (IBD), ulcerative colitis, or Crohn's disease. Administer the SIBDQ only if the subject answers ""Yes"" to this question. To further classify an IBD diagnosis, the Gastrointestinal Working Group (WG) recommends using the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) IBD Genetics Consortium Phenotype Form in the Supplemental Information section for the Gastrointestinal WG."	Text		PhenX > Miscellaneous		LOINC:62965-9	LOINC	Qualified	False
4RmunSGm6X	PhenX - intraocular pressure protocol 110701		Intraocular pressure (IOP) is measured using the TONO-PEN® XL instrument. The cornea is prepared by introducing one drop of anesthetic onto the surface of the eye and the TONO-PEN® is used to obtain four valid IOP measurements. The instrument calculates an average and the examiner records the average. The instrument also provides the reliability level of the measurement. Only those readings that have a 5% variability level are recorded as they are considered to be accurate. This protocol uses TONO-PEN® to measure intraocular pressure. This instrument has the advantages of portability and is relatively easy to use. Other hand-held instruments can be used to measure intraocular pressure. If other instruments are used, the reproducibility of the measurements should be comparable to those acquired with this protocol. In addition, when other instruments are used to collect these measurements, the manufacturer and model of equipment should be recorded. These other devices may require some different steps than are described in this protocol. Investigators should follow the equipment manufacturer's instructions to ensure quality control.	Text		PhenX > Miscellaneous		LOINC:62691-1	LOINC	Qualified	False
2TEQ_AJ_z	PhenX - job strain protocol 211201		This protocol includes 15 self-administered questions from the Skill Discretion (seven items), Decision Authority (three items), and Psychological Job Demands (five items) subscales of the Job Content Questionnaire. The protocol includes basic instructions for scoring the subscales and using the subscales to calculate job strain. The Job Content Questionnaire is a proprietary protocol. A license for the Job Content Questionnaire can be obtained from the Job Content Questionnaire Center website (http://jcqcenter.org/). Currently, there is a usage charge for research projects containing over 500 participants.	Text		PhenX > Miscellaneous		LOINC:63034-3	LOINC	Qualified	False
C6ttT9UvK	PhenX - life events - adult protocol 211502		The Traumatic Life Events Questionnaire (TLEQ) is a self-administered questionnaire to assess current and prior exposure to potentially traumatic events (e.g., from natural disasters to sexual abuse). Follow-up probes ask whether respondents felt fear, helplessness, or horror during any event experienced. Additional questions ask about physical injury and immediate emotional response to the event. For exposure to multiple events, respondents are asked to indicate which event they perceive as the worst. The Traumatic Life Events Questionnaire (TLEQ) is a proprietary instrument and administration requires a licensing agreement from Western Psychological Services. The Social Environments Working Group recommends that the Traumatic Life Events Questionnaire (TLEQ) be used to screen for prior exposure to traumatic events that can lead to mental health problems, such as posttraumatic stress disorder (PTSD).	Text		PhenX > Miscellaneous		LOINC:63041-8	LOINC	Qualified	False
TTLYBrjSP	PhenX - pain protocol 170401		The short form of the Brief Pain Inventory(c) (BPI) is a nine item, self-administered questionnaire for assessing clinical pain. The short form assesses the degree to which the respondent has experienced pain, and the degree to which his or her pain affects functional ability. The Brief Pain Inventory User's Guide(c) contains detailed information regarding the development and validity of the tool and scoring instructions. The Brief Pain Inventory(c) is a proprietary tool and as such may have an associated cost. This cost is dependent on whether the use of the tool is part of individual clinical practice or academic research. If academic research, the funding source of the research and the language version of the Brief Pain Inventory(c) are cost-determining factors. Please contact Dr. Charles Cleeland at the contact information listed in the Source section for more details.	Text		PhenX > Miscellaneous		LOINC:62904-8	LOINC	Qualified	False
TNE6_VU_ad	PhenX - pain, abdominal - type and intensity protocol 190901		The Short Form-McGill Pain Questionnaire-2(c) (SF-MPQ-2(c)) is a 22-item self-administered questionnaire that asks about the different qualities of pain and related symptoms. Respondents are asked to rate the intensity of each type of pain they felt during the past week on a scale from 0 to 10. This series of questions should be asked of people who are currently experiencing abdominal pain.	Text		PhenX > Miscellaneous		LOINC:62969-1	LOINC	Qualified	False
1e_U_NssW	PhenX - phonemic inventory protocol 200701		The Sounds-in-Words Section of the Goldman-Fristoe Test of Articulation, Second Edition (GFTA-2) is an interviewer-administered test that measures the respondent's articulation of the consonant sounds of Standard American English. The interviewer shows pictures and provides verbal cues to elicit single-word answers from the respondent that demonstrate common speech sounds. The Sounds-in-Words is a proprietary subtest of the Goldman-Fristoe Test of Articulation, Second Edition (GFTA -2). Each subtest of the Goldman-Fristoe Test of Articulation is a part of the complete test and is not sold separately. The Goldman-Fristoe Test of Articulation, Second Edition (GFTA-2) is a proprietary protocol and administration requires a licensing agreement from Pearson. Researchers should complete and return an application to pas.licensing@pearson.com. In order for this assessment to be considered valid, the investigator should make sure that the respondent speaks English as a first language.	Text		PhenX > Miscellaneous		LOINC:62992-3	LOINC	Qualified	False
Zuth5_sMCn	PhenX - physical, social, and mental health functioning - SF-36v2 protocol 191201		The SF-36v2® Health Survey is a 36-item instrument for measuring health status and outcomes via patient self-report. It is designed for use in surveys of general and specific populations, health policy evaluations, and clinical practice and research. The SF-36v2® measures the following eight health concepts, which are relevant across age, disease, and treatment groups: physical functioning, role limitations due to physical health problems, bodily pain, general health, vitality (energy/fatigue), social functioning, role limitations due to emotional problems, and mental health (psychological distress and psychological well-being). Both standard (4-week) and acute (1-week) recall versions are available. The survey's standardized scoring system yields a profile of eight health scores and two summary measures (physical and mental health) and a self-evaluated change in health status. The SF-36v2® Health Survey is a proprietary instrument copyrighted by QualityMetric Incorporated. To renew a current license or obtain a new license, complete and submit the Survey Information Request Form: Survey Information Request Form:The SF-36v2® Health Survey has been translated into numerous languages. The translation work has been under the auspices of QualityMetric Incorporated in Lincoln, Rhode Island. If you are interested in obtaining copies of translations or finding more information please contact sfinfo@qualitymetric.com	Text		PhenX > Miscellaneous		LOINC:62975-8	LOINC	Qualified	False
of_s6rcEy	PhenX - respiratory - immunoglobulin E - total and specific protocol 090701		Blood collection and bioassay for ascertaining levels of Immunoglobulin E. Licensing and guideline requirements for manufacturers and laboratories performing these tests have been set forth by the Food and Drug Administration and the Clinical Laboratory Improvement Amendment of 1988. These measures have assisted in ensuring more consistent results but do not address either accuracy or precision parameters in a comprehensive fashion. In summary, one of the major challenges in the development of consistent allergy testing is the need to identify and accept a well-recognized test standard. An ideal immunoassay for specific IgE antibodies should meet certain analytic performance criteria. These criteria include a slope of unity over the useful measurement range for all allergens, low variation across replicate measurements, statistically determined limits of detection, a practical cut-off point, and defined saturation points. For an assay to be considered as a standard, it would require close approximation to these criteria. There is currently no established standard in this field.	Text		PhenX > Miscellaneous		LOINC:62621-8	LOINC	Qualified	False
NjvyIf8BE	PhenX - restless legs syndrome protocol 131401		The Restless Legs Syndrome Rating Scale (Investigator Version 2.1) is a 10-item, interviewer-administered questionnaire that rates the primary features, the intensity and frequency of symptoms, and the impact of the disorder on the patient's quality of life for the most recent 2-week period. Numerical answer values can be summed for all 10 questions to obtain an overall score. The Restless Legs Syndrome Rating Scale is a proprietary instrument that is available from the MAPI Research Institute.	Text		PhenX > Miscellaneous		LOINC:62786-9	LOINC	Qualified	False
CV0ZyeIS7	PhenX - selenium protocol 050901		The analytical method for serum selenium (Se) is based on inductively coupled plasma mass spectrometry (ICP-MS) using matrix-matched calibration standards. In this method, Se (isotope mass 78 and/or mass 80), and gallium (mass 69) are measured in serum by inductively coupled plasma dynamic reaction cell spectrometry using methane as reaction gas. Strict adherence to quality control (QC) procedures outlined in the Protocol Text is recommended. Controls should be run at the beginning of the day, and then one control analyzed again after approximately each 10 patient samples, and then all QC controls are run at the end of each day's run. Agreement with certified or accepted QC values should be within the +2 S.D. limits.	Text		PhenX > Miscellaneous		LOINC:62287-8	LOINC	Qualified	False
DQUQ5qRib	PhenX - stuttering protocol 200901		The Stuttering Severity Instrument - Fourth Edition (SSI-4) is an interviewer-administered test that records a sample of the respondent's speech. The Computerized Scoring of the Stuttering Severity (Version 2; CSSS-2.0) software is provided to facilitate the calculation of frequency and duration of stuttering dysfluencies. The software automatically produces a record of the percentage of syllables stuttered (frequency) and the duration of the three longest stuttering events. The Stuttering Severity Instrument - Fourth Edition (SSI-4) is a proprietary protocol and administration requires a licensing agreement from Pro-Ed. Researchers should complete and return an application to testquestion@pro-ed.com	Text		PhenX > Miscellaneous		LOINC:62996-4	LOINC	Qualified	False
SWmS1_ykLi	PhenX - temperament - child protocol 181101		"The Children's Behavior Questionnaire (CBQ) is a parent-report questionnaire used to measure the temperament of a child (3 to 7 years old). The 36-item instrument (very short form) includes questions from the original CBQ to assess three broad factors (surgency/extraversion, negative affectivity, effortful control). Respondents are asked to read each description of behavior and indicate how many times in the past week the child exhibited this behavior. Respondents should circle the frequency on a 7-point Likert scale beginning with extremely untrue of your child (1) and ending with extremely true of your child (7). A ""not applicable"" response is also available."	Text		PhenX > Miscellaneous		LOINC:62935-2	LOINC	Qualified	False
0GziFeRy0	PhenX - temperament - early child protocol 181102		The Early Childhood Behavior Questionnaire (ECBQ) is a parent-report questionnaire used to measure the temperament of a young child (18 to 36 months old). The 36-item instrument (very short form) includes three broad scales. Respondents are asked to read each description of behavior and indicate how many times in the past week the child exhibited this behavior. Respondents should circle the frequency on a 7-point Likert scale (never, very rarely, less than half the time, half the time, more than half the time, almost always, always).	Text		PhenX > Miscellaneous		LOINC:62936-0	LOINC	Qualified	False
1HrYPp_RP	PhenX - temperament - infant protocol 181103		The Infant Behavior Questionnaire-Revised (IBQ-R) is a parent-report questionnaire used to measure the temperament of an infant (3 to 12 months old). The 36-item instrument (very short form) includes three broad scales. Respondents are asked to read each description of behavior and indicate how many times in the past week the infant exhibited this behavior. Respondents should circle the frequency on a 7-point Likert scale (never, very rarely, less than half the time, half the time, more than half the time, almost always, always).	Text		PhenX > Miscellaneous		LOINC:62937-8	LOINC	Qualified	False
yzuuDwhUR	PhenX - testes development protocol 101501		"A physician uses an orchidometer to measure testes size and determine the onset of puberty and later pubertal development. The orchidometer beads, which are of increasing volume from 1 ml to 25 ml are compared with the size of the subject's testicles. The examiner is careful to only include testicular tissue in the comparison. The orchidometer, a series of ellipsoids of increasing volume, are used to determine testes size. Each testis is measured with the patient standing in a warm room. The ellipsoid is held up to each isolated testis and a measurement is estimated, making sure not to include the epididymis in the measurement. One measurement is adequate, but it never hurts to do more than once (Prader A., 1966, 1975). The testicular examination requires two hands and should be performed in a warm room. The hands may be lubricated with surgical lubricant or warm, soapy water if necessary. The patient is supine. One hand is placed near the anterior superior iliac spine and the other on the scrotum. The first hand is swept from the anterior iliac spine along the inguinal canal to gently express any retained testicular tissue into the scrotum. A true undescended or ectopic inguinal testis may slide or ""pop"" under the examiner's fingers during this maneuver. A low ectopic or retractile testis will be felt by the second hand as the testis is milked into the scrotum by the first hand.(Cooper and Docimo 2010; Drutz 2010). Examination of older children and adult testes is routinely performed in the standing position. Examination of adults with a suspected undescended testis should be done in both the supine and standing positions with adequate cremasteric relaxation to differentiate true UDT or ectopic testes from retractile testes (Eyre 2010)."	Text		PhenX > Miscellaneous		LOINC:62676-2	LOINC	Qualified	False
6sPgDhupHy	PhenX - verbal memory protocol 130801		Logical Memory is an interviewer-administered test that is a part of the Wechsler Memory Scale®, Fourth Edition (WMS®-IV). The interviewer reads the respondent a story and asks the respondent to repeat details of the story from memory. The test can be performed as both an immediate and delayed recall. The protocol includes scoring instructions that accounts for specific versus paraphrased details. Logical Memory is a subtest of the Wechsler Memory Scale®, Fourth Edition (WMS®-IV). Each WMS-III or WMS-IV subtest is a part of a complete WMS-III/IV assessment and is not sold separately. To administer a subtest requires a licensing agreement from Pearson. Researchers should complete and return an application to pas.licensing@pearson.com. The current fee for each subtest use is $1.25 each - subject to a minimum license fee.	Text		PhenX > Miscellaneous		LOINC:62772-9	LOINC	Qualified	False
pPAYEYUW8	PhenX - visual memory protocol 130901		Visual Reproductions is an interviewer-administered test that is a part of the Wechsler Memory Scale® Fourth Edition (WMS®-IV). The interviewer shows the respondent a series of simple images and asks the respondent to draw them from memory. The test can be performed as both an immediate and delayed recall. The protocol includes scoring instructions that account for accuracy and speed. Visual Reproductions is a component of The Wechsler Memory Scale®, Fourth Edition. Each WMS-III or WMS-IV subtest is a part of a complete WMS-III/IV assessment and is not sold separately. To administer a subtest requires a licensing agreement from Pearson. Researchers should complete and return an application to pas.licensing@pearson.com. The current fee for each subtest use is $1.25 each - subject to a minimum license fee.	Text		PhenX > Miscellaneous		LOINC:62774-5	LOINC	Qualified	False
NCSrxRFqr	PhenX - vitamin D protocol 051101		Any methodology that uses the appropriate National Institute of Standards and Technology (NIST) standard reference material and whose use is monitored by participation in Vitamin D External Quality Assessment Scheme (DEQAS) can be used to quantify vitamin D exposure.	Text		PhenX > Miscellaneous		LOINC:62288-6	LOINC	Qualified	False
jzcAgiXq_	PhenX - vocabulary assessment protocol 201201		The Peabody Picture Vocabulary Test, Fourth Edition (PPVT-4) is an interviewer-administered instrument that measures the receptive (hearing) vocabulary of the respondent. For each item, the examiner says a word and the respondent selects a picture that illustrates the word's meaning. The items sample words that represent 20 content areas (e.g., actions, vegetables, tools), and parts of speech (e.g., nouns, verbs). The Peabody Picture Vocabulary Test, Fourth Edition (PPVT-4) is a proprietary protocol and administration requires a licensing agreement from Pearson. Researchers should complete and return an application to pas.licensing@pearson.com. In order for this assessment to be considered valid, the investigator should make sure that the respondent speaks English as a first language and does not have a preexisting hearing impairment.	Text		PhenX > Miscellaneous		LOINC:63002-0	LOINC	Qualified	False
lLbYoUaBc	PhenX - weight - measured weight protocol 021501		Weight is measured using a digital floor scale. The instrument should be calibrated daily using standardized weights, and a log of calibration results should be maintained. For reliability, the measurements are taken in duplicate. A third measurement should be taken if the first two measurements differ by >200 grams or 0.25 pounds. If it is necessary to take a third measurement, the two closest measurements are averaged. Should the third measurement fall equally between the first two measurements, all three should be averaged. Measured weight is recommended, and self-reported weight should only be recorded as a last resort.* Please indicate how the weight was collected (i.e., measured vs. self-reported). In instances where both self-reported and measured weight are collected, collect the self-reported weight first before measuring weight. *NOTE: Self-reported weight values are considered to be less accurate. Self-reported weight is subject to error and is used when measured weight cannot be obtained.	Text		NICHD > NBSTRN Duchenne Muscular Dystrophy (DMD)		LOINC:62297-7; NICHD Variable Name:pv_w	NICHD	Qualified	False
SVyiksRga	PhenX - working memory protocol 131001		A questionnaire to measure a respondent's system of high-level cognitive functions that controls other, more basic abilities and functions such as abstract thinking, rule acquisition, cognitive flexibility and goal-oriented behavior. This measure tests a respondent's total range of function with respect to executive function. It is therefore more specific and sensitive than a measure of global mental status and can be used to assess major problems in executive function as well as minor variations that may be a consequence of normal aging.	Text		PhenX > Miscellaneous		LOINC:62776-0	LOINC	Qualified	False
7tlLOjdrxr	Phenols [Mass/volume] in Urine			Text		PhenX > Miscellaneous		LOINC:2759-9	LOINC	Qualified	False
5sT_y7I7v0	Phenotype			Value List	1=EIKD | 2=LIKD | 3=Adolescent | 4=Adult | 5=LOKD | 6=Pre-symp EIKD | 7=Pre-symp LOKD | 8=Unaffected | 9=High Risk	NICHD > NBSTRN Krabbe Disease		NICHD Variable Name:a_time_in_life	NICHD	Qualified	False
_Mw7TFu9fBP	Phenotypic sex child type		Sex of the participant/subject's child based on physical examination	Value List	Female | Male | Unknown	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C16050; BRICS Variable Name:PhenotypSexChildTyp	NINDS	Qualified	False
71Bq1xL2mM	Phenylalanine [Moles/volume] in Dried blood spot			Number		NLM > Newborn Screening	LOINC - Part - Component:LP15792-2; LOINC - Part - Property:LP6860-3; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP21304-8; LOINC - Part - Scale:LP7753-9; LOINC - Part - Multipart:LP28435-3	LOINC:29573-3	NLM	Standard	False
7y7g5JgLhQf	Phenylalanine/Tyrosine [Molar ratio] in Dried blood spot			Text		NLM > Newborn Screening	LOINC - Part - Component:LP15792-2; LOINC - Part - Quotients:LP28934-5; LOINC - Part - Divisors:LP32175-9; LOINC - Part - Property:LP6868-6; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP21304-8; LOINC - Part - Scale:LP7753-9; LOINC - Part - Multipart:LP28435-3	LOINC:35572-7	NLM	Standard	False
XJDiygLhXz	Phenylketonuria and variants/Biopterin defects newborn screen interpretation			Value List	In range | Borderline | Indeterminate | Out of range | Out of range requiring further dried blood spot testing for at least one condition | Out of range requiring immediate referral | Out of range requiring immediate second-tier testing for at least one condition | Out of range requiring deferred follow-up for at least one condition | One or more tests pending | Specimen unsatisfactory for at least one condition	NLM > Newborn Screening	LOINC - Part - Component:LP56749-2; LOINC - Part - Property:LP6819-9; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP21304-8; LOINC - Part - Scale:LP7750-5; LOINC - Part - Fragments for synonyms:LP56980-3	LOINC:46746-4	NLM	Standard	False
X1ifpye8nQf	Phenylketonuria and variants/Biopterin defects newborn screening comment-discussion			Text		NLM > Newborn Screening	LOINC - Part - Component:LP56749-2; LOINC - Part - Component:LP98857-3; LOINC - Part - Suffix:LP157894-9; LOINC - Part - Property:LP6885-0; LOINC - Part - Time:LP6960-1; LOINC - Part - System:LP21304-8; LOINC - Part - Scale:LP7749-7; LOINC - Part - Fragments for synonyms:LP56980-3; LOINC - Part - Fragments for synonyms:LP91459-5; LOINC - Part - Fragments for synonyms:LP20987-1; LOINC - Part - Fragments for synonyms:LP34059-3	LOINC:58231-2	NLM	Standard	False
QktxFFcihsx	Photocopy of Report Confirming Primary Colorectal Cancer			Value List	Pathology/Histopathology (ATTACH COPY) | Cytology/Cytopathology (ATTACH COPY) | Not available	PhenX > Miscellaneous		LOINC:67199-0	LOINC	Qualified	False
Q1lYd5jnox	Photographer ID			Text		PhenX > Miscellaneous		LOINC:65884-9	LOINC	Qualified	False
XkD7g790q7	Physcial therapy minute duration		The duration in minutes related to physical therapy.	Number		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C22905; BRICS Variable Name:PTMinDur	NINDS	Qualified	False
7k_oRKYa6L	Physical Activity completed type		Type of Activity completed by the individual	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C57491; BRICS Variable Name:PhysActCmpltTyp	NINDS	Qualified	False
nMm_d1WThF	Physical Exam Body System Result Type		Assessment result of each body system examined.	Text		NHLBI > Venous Thromboembolism (VTE)		ISTH:18:38:27:593	NHLBI	Qualified	False
ZFaCRj8TTO	Physical Exam Description Text		Free text field to describe the abnormality in a specific body system or an explanation of why the body system was not examined.	Text		NHLBI > Venous Thromboembolism (VTE)		ISTH:18:38:27:599	NHLBI	Qualified	False
w4smtIzyUu	Physical Exam Performed Indicator		Indicator of whether a physical exam was performed on the participant.	Value List	Yes | No	NHLBI > Venous Thromboembolism (VTE)		ISTH:18:38:6:597	NHLBI	Qualified	False
y4fo3ypuKNq	Physical Functioning		" 
Not at all
Very little
Somewhat
Quite a lot
Cannot do "	Externally Defined		GRDR > Requirement; GRDR > Category		GRDR:GRDR056	GRDR	Qualified	False
Q1805fX1ye	Physical Well-being Not Good Past 30 Day Count	Thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?	Number that represents how many days in the past month that a person experienced inadequate physical health.	Value List	0=Day 0 | 1=Day 1 | 10=Day 10 | 11=Day 11 | 12=Day 12 | 13=Day 13 | 14=Day 14 | 15=Day 15 | 16=Day 16 | 17=Day 17 | 18=Day 18 | 19=Day 19 | 2=Day 2 | 20=Day 20 | 21=Day 21 | 22=Day 22 | 23=Day 23 | 24=Day 24 | 25=Day 25 | 26=Day 26 | 27=Day 27 | 28=Day 28 | 29=Day 29 | 3=Day 3 | 30=Day 30 | 4=Day 4 | 5=Day 5 | 6=Day 6 | 7=Day 7 | 77=Don't know/Not sure | 8=Day 8 | 88=None | 9=Day 9 | 99=Refused	NIDA > Clinical Research	NCI caDSR:3291317v1; NCI Thesaurus:C91779; NCI Thesaurus:C25609; NCI Thesaurus:C45255; NCI Thesaurus:C25301; NCI Thesaurus:C25594; NCI Thesaurus:C64975	caDSR:3294402	NCI	Qualified	False
nTJsUUtkEn	Physical activity 20 minute day during week count		The count of days in a typical week on which the participant/subject spends at least 20 minutes doing physical activities or exercise	Number		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20256; BRICS Variable Name:PhysActiv20MinsDyDurWkCt	NINDS	Qualified	False
7yW8k5KTTI	Physical activity cause symptom type		Type of physical activity that causes individual's symptoms (shortness of breath, discomfort, or pain with exercise)	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C57632; BRICS Variable Name:PhysActCsSympTyp	NINDS	Qualified	False
mke1D5ihsg	Physical activity in past Y CTS			Value List	1=Casual walking | 2=Doing housework | 3=Standing or walking at work | 4=Sitting | 5=Sleeping	PhenX > Miscellaneous		LOINC:63867-6	LOINC	Qualified	False
_7QHu3m0g	Physical activity increase intervention other text		The free-text field related to 'Physical activity increase intervention type' specifying other text. If the participant/subject received recommendations to increase physical activity, describes the type(s) of interventions received.	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C58851; BRICS Variable Name:PhysActIncrseInterventOthrTxt	NINDS	Qualified	False
